Trandafirilor,Bucuresti,Romania,60341,1
Furcii,Bucuresti,Romania,62345,2
Danului,Timisoara,Romania,50324,3
Valea Doftanei,Bucuresti,Romania,06453,4
Lalelelor,Timisoara,Romania,70965,5
Aleea Parva,Bucuresti,Romania,60012,6
Aleea Pravat,Bucuresti,Romania,60054,7
Moinesti,Bucuresti,Romania,70451,8
Aleea Macinului,Bucuresti,Romania,60304,9
Valea Lunga,Bucuresti,Romania,06651,10
Drumul Taberei,Bucuresti,Romania,60013,11
Raul Doamnei,Bucuresti,Romania,60345,12
Bd Timisoara,Bucuresti,Romania,60012,13
Bd Uverturii,Bucuresti,Romania,60345,14
Aleea Ciresilor,Bucuresti,Romania,50356,15
Margelelor,Vaslui,Romania,19865,16
Bucurestii Noi,Bucuresti,Romania,34124,17
Bd Elizabeta,Bucuresti,Romania,14236,18
